Price     SquareFootage  Age
    268380           1897         1
    131000           1157        15
    112000           1024        35
    112000            935        35
    122000           1236        39
    127900           1248        32
    157600           1620        33
    135000           1124        33
    145900           1248        35
    126000           1139        39
    142000           1329        40
    107500           1040        45
    110000            951        42
    187000           1628         1
     94000            816        43
     99500           1060        24
     78000            800        68
     55790            492        79
     70000            792        80
     53600            980        62
    157000           1629         3
    166730           1889         0
    340000           2759         6
    195000           1811         3
    215850           2400        27
    169900           1686        35
    180000           2054        34
    127000           1386        50
    242500           2603        10
    152900           1582         3
    171600           1790         1
    195000           1908         6
     83100           1378        72
    125000           1668        55
     60500           1248       100
     85000           1229        59
    117000           1308        60
     57000            892        90
    110000           1981        72
    127250           1098        70
    119000           1858        80
    172500           2010        60
    123000           1680        86
    161715           1670         1
    179797           1938         1
    117250           1120        36
    116500            914         4
    117000           1008        23
    177500           1920        32
    132000           1146        37
