Salary    Average
   9500000     0.269
   8000000     0.282
   7333333     0.327
   7250000     0.259
   7166667      0.24
   7086668      0.27
   6375000     0.253
   6250000     0.238
   6200000       0.3
   6000000     0.247
   5825000     0.213
   5625000     0.238
   5000000     0.245
   4900000     0.276
   4500000     0.268
   4000000     0.221
   3625000     0.301
   3450000     0.242
   3150000     0.273
   3000000      0.25
   2500000     0.208
   2400000     0.306
   2250000     0.235
   2125000     0.277
   2100000     0.227
   1800000     0.307
   1500000     0.276
   1087500     0.216
   1000000     0.289
    950000     0.237
    800000     0.202
    750000     0.344
    720000     0.185
    675000     0.234
    630000     0.324
    600000       0.2
    500000     0.214
    325000     0.262
    320000     0.207
    305000     0.233
    285000     0.259
    232500      0.25
    227500     0.278
    221000     0.237
    220650     0.235
    220000     0.243
    217500     0.297
    202000     0.333
    202000     0.301
    200000     0.224
